scanner,finding,count
KICS,Resource Not Using Tags,195
KICS,Name Is Not Snake Case,180
KICS,Variable Without Description,130
KICS,Sensitive Port Is Exposed To Wide Private Network,126
KICS,IAM Access Analyzer Not Enabled,99
KICS,Output Without Description,52
KICS,Sensitive Port Is Exposed To Entire Network,48
KICS,Variable Without Type,47
KICS,IAM policy allows for data exfiltration,22
KICS,Unpinned Actions Full Length Commit SHA,21
KICS,CloudWatch S3 policy Change Alarm Missing,16
KICS,S3 bucket notifications disabled,12
KICS,S3 Bucket Without Enabled MFA Delete,11
KICS,Shield Advanced Not In Use,10
KICS,S3 Bucket Logging Disabled,8
KICS,VPC Without Network Firewall,8
KICS,CloudWatch Log Group Without KMS,8
KICS,Lambda Function Without Dead Letter Queue,7
KICS,Lambda Functions Without X-Ray Tracing,7
KICS,S3 Bucket Policy Accepts HTTP Requests,6
KICS,CloudWatch Logging Disabled,6
KICS,VPC FlowLogs Disabled,5
KICS,KMS Key With Vulnerable Policy,4
KICS,S3 Bucket Without Versioning,3
KICS,VPC Subnet Assigns Public IP,3
KICS,Unrestricted Security Group Ingress,3
KICS,CloudWatch Without Retention Period Specified,3
KICS,Security Group Rule Without Description,3
KICS,SNS Topic Not Encrypted,2
KICS,IAM Policy Grants Full Permissions,2
KICS,Kinesis SSE Not Configured,2
KICS,Security Group Not Used,2
KICS,Image Version Using 'latest',2
KICS,ECR Repository Without Policy,2
KICS,Postgres RDS logging disabled,1
KICS,No Stack Policy,1
KICS,SQS With SSE Disabled,1
KICS,Lambda IAM InvokeFunction Misconfigured,1
KICS,Stack Notifications Disabled,1
KICS,API Gateway Deployment Without Access Log Setting,1
KICS,API Gateway With CloudWatch Logging Disabled,1
KICS,API Gateway With Open Access,1
KICS,API Gateway Without Configured Authorizer,1
KICS,API Gateway Without SSL Certificate,1
KICS,API Gateway without WAF,1
KICS,API Gateway Stage Without API Gateway UsagePlan Associated,1
KICS,API Gateway With Invalid Compression,1
KICS,AWS EIP not attached to any instance,1
KICS,ElasticSearch Encryption With KMS Disabled,1
KICS,Elasticsearch Log Disabled,1
KICS,Elasticsearch Without IAM Authentication,1
KICS,IAM Role Policy passRole Allows All,1
KICS,CloudTrail SNS Topic Name Undefined,1
KICS,Cognito UserPool Without MFA,1
KICS,Not Using JSON In CMD And ENTRYPOINT Arguments,1
KICS,Unpinned Package Version in Pip Install,1
KICS,Yum install Without Version,1
KICS,Pip install Keeping Cached Packages,1
KICS,Missing User Instruction,1
